project_id,project_name,sector,state,implementing_agency,approved_cost_crore,physical_progress_pct,financial_progress_pct,schedule_progress_pct,delay_days,change_orders,land_acquisition_issue,contractor_health_score,material_inflation_pct,pending_clearances,primary_driver,cost_overrun_pct,time_overrun_pct,status
PMN-1001,Roads Infrastructure Package 01,Roads & Transport,Rajasthan,Rural Works Department,326.09,76.8,88.7,15.2,0,1,0,85.2,6.8,3,Contractor capacity,0.0,7.4,On Track
PMN-1002,Water Infrastructure Package 02,Water & Sanitation,Bihar,State PWD,407.32,34.0,44.8,60.8,83,5,0,57.7,8.8,1,Contractor capacity,37.5,100.0,At Risk
PMN-1003,Urban Development Infrastructure Package 03,Urban Development,Tamil Nadu,Municipal Corporation,109.2,37.0,17.2,77.6,120,5,1,43.0,6.0,0,Material price escalation,54.6,100.0,At Risk
PMN-1004,Health Infrastructure Package 04,Health,Karnataka,State PWD,417.26,51.1,73.0,41.2,0,3,0,66.8,4.9,4,Design change,15.9,0.0,On Track
PMN-1005,Urban Development Infrastructure Package 05,Urban Development,Bihar,Rural Works Department,215.53,61.6,69.0,51.7,0,2,1,66.3,3.8,0,Monsoon disruption,23.3,10.3,On Track
PMN-1006,Roads Infrastructure Package 06,Roads & Transport,Uttar Pradesh,Urban Development Authority,506.82,74.6,67.9,51.8,0,0,1,57.0,6.2,2,Clearance dependency,10.5,15.5,On Track
PMN-1007,Water Infrastructure Package 07,Water & Sanitation,Tamil Nadu,Municipal Corporation,333.45,52.9,30.8,53.9,0,1,0,50.3,5.7,3,Land acquisition,8.7,3.0,On Track
PMN-1008,Education Infrastructure Package 08,Education,Rajasthan,Urban Development Authority,474.19,32.4,30.6,67.3,115,1,0,33.7,4.2,4,Land acquisition,26.5,100.0,At Risk
PMN-1009,Roads Infrastructure Package 09,Roads & Transport,Rajasthan,State PWD,356.58,65.8,75.9,100.0,105,3,0,36.6,5.4,4,Design change,46.7,100.0,At Risk
PMN-1010,Education Infrastructure Package 10,Education,Tamil Nadu,Municipal Corporation,94.22,45.8,39.9,100.0,207,3,0,18.0,6.9,4,Material price escalation,57.5,100.0,At Risk
